Voucher,Long_dec,Lat_dec
18161,-49.0000,-25.4667
3.7.1.33,-49.0000,-25.4667
3.7.1.38,-49.0000,-25.4667
3.7.1.34,-49.0000,-25.4667
3.7.1.36,-49.0000,-25.4667
3.7.1.37,-49.0000,-25.4667
3.7.1.35,-49.0000,-25.4667
10038,-49.2833,-25.5500
10039,-49.2833,-25.5500
10040,-49.2833,-25.5500
10042,-49.2833,-25.5500
10041,-49.2833,-25.5500
2651,-48.8333,-26.3000
2652,-48.8333,-26.3000
2.4.6.25,-48.4000,-22.7833
52353,-49.6833,-21.3667
6020,-52.6333,-22.2833
10338,-48.1500,-22.7500
52352,-49.7500,-21.6667
6156,-49.7500,-21.6667
6157,-49.7500,-21.6667
6158,-49.7500,-21.6667
6159,-49.7500,-21.6667
5908,-49.7500,-21.6667
6155,-49.7500,-21.6667
6154,-49.7500,-21.6667
6272,-48.7220,-23.3864
10326,-48.7667,-23.2667
10333,-48.7667,-23.2667
449,-49.9833,-23.1500
6545,-48.7167,-24.5500
10774,-48.0000,-23.6667
27287,-48.4167,-24.2833
94367,-47.7500,-23.9667
94368,-47.7500,-23.9667
94369,-47.7500,-23.9667
94370,-47.7500,-23.9667
94371,-47.7500,-23.9667
3.7.1.141,-47.8833,-23.5500
3.7.1.140,-47.8833,-23.5500
3748,-47.9833,-23.8833
47957,-49.3333,-24.1667
3903,-47.9500,-25.0167
3902,-47.9500,-25.0167
27759,-47.9500,-24.9333
12828,-47.43,-24.66
20394,-47.2500,-24.54
20395,-47.2500,-24.54
20396,-47.2500,-24.54
20397,-47.2500,-24.54
10675,-47.2500,-24.54
10676,-47.2500,-24.54
12834,-47.56,-24.68
12833,-47.56,-24.68
12845,-47.8333,-24.3667
94360,-47.8333,-24.3667
94361,-47.8333,-24.3667
94362,-47.8333,-24.3667
94363,-47.8333,-24.3667
94364,-47.8333,-24.3667
94365,-47.8333,-24.3667
12827,-47.4167,-24.6333
12832,-47.4167,-24.6333
12831,-47.4167,-24.6333
12829,-47.4167,-24.6333
10455,-47.8500,-24.3167
10634,-47.8500,-24.3167
10633,-47.8500,-24.3167
10457,-47.8500,-24.3167
10635,-47.8500,-24.3167
10456,-47.8500,-24.3167
10453,-47.9279,-24.3843
12835,-47.2500,-24.5167
92999,-47.6333,-24.5833
93000,-47.8333,-24.3667
93001,-47.96,-25.05
93002,-47.8167,-24.3667
93003,-47.8167,-24.3667
93009,-47.8167,-24.3667
10308,-47.08,-24.32
13305,-46.6167,-23.9667
13303,-46.6167,-23.9667
13302,-46.6167,-23.9667
12849,-46.6167,-23.9667
12847,-46.6167,-23.9667
12848,-46.6167,-23.9667
12846,-46.6167,-23.9667
2138,-45.5833,-22.7333
6563,-46.6833,-22.6333
291,-47.0333,-22.2833
1.2.7.25,-45.000984,-22.460820
1.6.6.28,-45.3,-22.6
12853,-46.6333,-23.4500
12852,-46.6333,-23.4500
13304,-46.7000,-23.6833
9836,-46.9167,-23.6000
9837,-46.9167,-23.6000
9838,-46.9167,-23.6000
9870,-46.9167,-23.6000
5956,-46.7500,-23.8333
22436,-46.1333,-23.5333
3697,-46.8500,-23.0000
12851,-46.6000,-23.2167
12850,-46.6000,-23.2167
1496,-46.3167,-23.7833
1497,-46.3167,-23.7833
3881,-46.3167,-23.7833
6648,-45.9000,-23.6500
6649,-45.9000,-23.6500
6738,-45.9000,-23.6500
6003,-45.41,-23.6000
10037,-45.41,-23.6000
9784,-45.41,-23.6000
1834,-45.078,-23.42
1837,-45.078,-23.42
1836,-45.078,-23.42
1833,-45.078,-23.42
1835,-45.078,-23.42
6647,-45.92,-23.73
3794,-46.4167,-23.8833
2.4.6.24,-45.3000,-23.8333
40557,-45.3000,-23.8333
40558,-45.3000,-23.8333
2098,-45.3000,-23.8333
1.7.2.26,-44.9667,-22.5667
1.2.7.27,-44.9667,-22.5667
1393,-43.7000,-22.9500
1693,-42.9833,-22.4333
1694,-42.9833,-22.4333
1695,-42.9833,-22.4333
3.9.4.46,-41.4667,-20.7667
3.9.4.45,-41.4667,-20.7667
3.9.4.49,-41.4667,-20.7667
3.9.4.44,-41.4667,-20.7667
3.9.4.50,-41.4667,-20.7667
3.9.4.48,-41.4667,-20.7667
6199,-40.5333,-20.1000
6197,-40.5333,-20.1000
10466,-40.5833,-19.9167
10465,-40.5833,-19.9167
2243,-40.6333,-19.5333
2244,-40.6333,-19.5333
5947,-39.8167,-19.6167
3511,-41.7333,-19.4167
3509,-41.7333,-19.4167
20733,-44.8167,-17.2167
20734,-44.8167,-17.2167
5945,-41.7667,-18.8333
5946,-41.7667,-18.8333
5949,-43.0000,-19.7500
5948,-42.5167,-19.5000
5942,-42.5167,-19.5000
7071,-39.71,-18.41
7882,-40.7500,-17.0833
3501,-39.0500,-14.8000
3502,-39.0500,-14.8000
2608,-40.1833,-10.4500
20425,-41.3333,-12.8000
20427,-41.3333,-12.8000
20428,-41.3333,-12.8000
20430,-41.3333,-12.8000
8282,-36.1333,-09.9167
7536,-36.1333,-09.9167
7534,-36.1333,-09.9167
7535,-36.1333,-09.9167
7534.,-36.1333,-09.9167
7533,-36.1333,-09.9167
7375,-36.0833,-09.7833
7372,-36.0833,-09.7833
3.10.1.28/3.10.1.27,-35.0500,-07.9833
3.10.1.28,-35.0500,-07.9833
3.10.1.32,-35.0500,-07.9833
3.10.1.30,-35.0500,-07.9833
26828,-35.3167,-07.6500
8421,-35.1167,-06.8333
8420,-35.1167,-06.8333
