Voucher,Sex,SL,ZW,IO,PC,BW,NL,NW,DT,UTB,MM,MBL,MBH,LT
18161,M,48.4507579902664,27.8667089939008,16.5,17.4766847815181,21.3125888478381,14.3,6.3,12.4,7.7,10.7,24.2,16.4,7.8
3.7.1.33,M,48.6,27.2,15.7,16.8,21.5,15.7,6.9,12.9,7.3,10.7,25.6,17.7,7.5
3.7.1.38,F,49.1,28.6070741524651,16.1,17.1,21,14.8,6.7,12.7,7.8,10.9,25.7,17.2,8
3.7.1.34,M,49.1303883862901,27.9,16.1,17.0049929440567,21.0884175048987,15.1,6.2,12,7.8,10.9,25.6,17.4,7.9
3.7.1.36,M,48.8426558506825,28.9,16.5,17.6507923035867,20.7903545938595,15.8195472453686,7.00568096704053,12.5,7.5,10.6,26.3,17.4,7.7
3.7.1.37,F,49,28.3,16,18.3,22.1,14.9,6.7,12.6,7.5,10.5,27.9,17.4,7.9
3.7.1.35,M,47.9,27.6,15.9,17.2,21.4,14.8,6.5,12.2,7.6,10.2,25.4,17,7.8
10038,M,47.7156854280062,28,15.8,17.6,21.4,15,6.6,12.6,7.5,10.9,24.6,16.6,7.8
10039,F,47.9,27.8,15.8,17.6,21.5,13.7,6.7,12,7.6,10.8,24.1061329225306,16.5443017897084,7.9
10040,M,47.8,27.6,15.6,17.3,21.2,15.1,6.6,12.1,7.4,10.6,25.3,17,7.8
10042,F,48.8,27.2,15.2912190236283,16.8444182941289,21.2,15.4,6.3,12.2,7.8,10.6,25.5650366661306,17.4365813961414,8.1
10041,M,48.6027041671988,28.6,16.8,17.3,21,14.4,7,12.6,7.4,10.9,25.2947786269186,17.7952533758052,7.67039623578458
2651,,48.9,28.1,16,17,21.4,14.9,7.2,12.6,7.5,11.1,25.4,17.3,8
2652,,49.2202833348625,27.4659535701068,15.4,17,21.1,14.9,6.9,12.5,7.63463635397801,10.8616736954035,25.5,17.1,8.04804679987242
