Voucher,Sex,SL,ZW,IO,PC,BW,NL,NW,DT,UTB,MM,MBL,MBH,LT
3.9.4.46,M,49.2,28.3,15.9,17.1,21.3,15.7,6.5,12.8,7.7,10.7113638539219,25.9,16.9,7.90794107474793
3.9.4.45,M,48.9,29.1,14.9,16.6,21,15.2,6.8,12.6,7.6,10.1659978684499,25,17.2,7.8
3.9.4.49,F,48.8,27.9,15.8,17.4,21.2,14.3,6.6,12.7,7.9,10.9066498597684,25.2,16.9,8.06177174190888
3.9.4.44,M,51.9,29.7,16.4,17.3,21.5,16.1,6.9,14,8.1,10.7,27.6,18.2,8.2
3.9.4.50,F,49.8,29.1,15.9,17.7,21.8,15.1,6.4,12.9,7.7,10.8,26,18,7.9
3.9.4.48,F,48.8,28.9,15.9,17,21.2,13.7,6.6,13.6,7.7,10.8,26.3,17,7.70159500547778
6199,F,47.6,27.9,16.1,17.7,21.5,14.1,6.6,12.1,6.7,10.6,24.6,17.5195875967657,7.3785932596445
6197,F,50.4,28.6349319732127,16.6,17.6,21.7,15.1,6.8,12.7,7.4,10.7,26.1,17.7032410808311,8
10466,F,50.6,29.8,16.5,16.6,21,15.7,6.9,13.3,8.1,10.9,26.8,17.7,8.1
10465,M,48.2,27.8,15.3,17.2,20.7,14.5,6,12.4,7.7,10.9,24.2,17,7.7
2243,F,46.7960983892377,27.6,15.9,17.4,21.7261318380435,14.4,6.6,11.8,7.2,10.2,26.5,17.5,7.8
2244,F,45,26.2,16.1,17.6,21.3,13,5.7,11.7,7.6,11.1,23.8,15.1,7.6
5947,M,49.3,28.3,16.1,16.9,21.1,15.1,6.7,12.2,7.5,10.3,23.6,15.9,7.5
3511,F,49.2,28.6,15.8,17.1,20.6,14.7,7,13.1,7.8,10.6,26,16.5,7.6
3509,F,47.2,29.7,17.2,18.2,21.4,14.7,6.9,12,7.5,10.5,25.8,17.3,7.8
