Voucher,Sex,SL,ZW,IO,PC,BW,NL,NW,DT,UTB,MM,MBL,MBH,LT
1496,M,46.7,28,14.8,17.2216926781441,20.6,14.6,6.8,12.3,7.3,10.1,23.9,17.4,7.52418882133371
1497,M,47,28.2,15.3,17.2,20.6,14.4,6.3,11.8,7.58599054219035,10.3,24.0308549272825,16.9104498922917,7.6185936040205
3881,,48.5874254613746,28.5,15.5,16.5,20.9,14.8110090855119,6.82130954699494,12.7,7.5,10.7,26.2930497478139,17.5128699103072,7.8
6648,M,48.9,28.1,16.1,18.2,22.4,14.2,6.6,12.8,7.4,10.8,25.1,16.6,7.6
6649,M,47.6335006809511,27.5860315872626,16,17.6,21.7906296911318,14.3,6.7,12.1,7.9,10.6,24,16.4,8
6738,F,48.6,29.1344424387642,16.5,17.9,21.9,15.2,7.1,12.9,7.91315099106124,10.9297941783915,25.5,17.4,7.96883982741004
6003,F,49.8,28.6,17.3,17.7,21.7,15,7.36721325773339,12.7,7.7,11.4,26.3,18.3,7.9
10037,F,49.1,29.5011765337198,16.1755828789854,17.4133209046512,22,14.9,6.9,13.3,7.9,11,25.3,17.8,8.1
9784,F,49.1,27.9,16.3,18.2,22.5,15,6.4,12.5,7.8,10.5,25,17.8,8
1834,M,49.1450743745057,29,16,17.3,20.8,14.4,7,12.8,7.5,11.1,25.1545795465482,17.3734677404057,7.93885514921054
1837,F,49.5,28.9,16.4,17.2,21.3,15,6.9,13.1,7.6,11,27.1305479781282,18.1,7.8
1836,M,50.1803877852529,29.1,16,18.1,22,14.7114568199835,6.89275306378932,12.9,7.6,10.5,26.4,18,7.8
1833,F,52.8,31,16.9,18,22.4,15.8,7.1,13.6,8.2,11.7,27.4,19.4,8.3
1835,M,49.1,29.2,16.3,17.2,21.5,14.4,7,13,7.8,10.8,26.6,17.6,7.8
6647,M,47.7,27.3,15.3,17.2,20.7,15.6,6.8,11.8,7.8,10.7,25,16.9,8
3794,F,47.1758040287719,26.7140628046925,14.7,17.1,20.8,14.6009069458927,6.3,11.9,7.7,10.7,25.1,16.9,7.9
