Voucher,Sex,SL,ZW,IO,PC,BW,NL,NW,DT,UTB,MM,MBL,MBH,LT
6545,,47.7,28.5914268720045,15.8,16.8,20.8,14.7,6.7,12.5,7.7,10.5,25.9563125768983,17.4,8
10774,M,49.4,29.3,15.7,17.5,20.9,15.3,6.7,12.9,7.8,10.7,26.4,17.9,7.9
27287,M,48.6,26.6,15,16.6,20.9,14.1,6.2,12.1,7.78019111970414,10.5446869901709,25.7,16.7,7.9
94367,M,48.2,28.4,15.9,17.1,21.4,14.4,6.6,12.7,7.9,11.1,25.7,16.9,8
94368,F,50.1,29.2177414743025,16,16.9,20.9,15.2,6.9,13.2,8,10.9,26.7,17.3,7.9
94369,M,49.2,28.3,15.6,16.7,21.2,15.3,6.7,12.5,7.9,11,26.3,17.3,8
94370,M,49.3,28.8,16.4,17.1,21.4,15.7,7.06731994823734,12.4,8,10.8354804570271,26.5,17.9,8.2
94371,F,50.3,29.8,16.5,17.5,21.2,15.7,6.9,13.9,7.63149583974282,10.7169450634278,26.7,17.9,7.62998973604697
3.7.1.141,F,48.7,28.4,15.4,17.0205090550616,21.1835251611187,14.7,6.4,12.9,7.5,10.6,26.3,17.5,7.5
3.7.1.140,F,46.8383368800501,26.8386344615103,15.3115265379249,17.1045955301474,20.7354843326288,13.9,6.26210182890675,12,7.3,10.1,23,16.2,7.3
3748,F,50.5,28.6,16.1,16.5,20.5,15.3,6.7,12.1,7.8,10.6,26.6,18.2,8.2
47957,F,49,28.6,16.3,17.3,21.4,15.3,6.7,12.3,7.8,11.1,26.2,17.6,8
