Voucher,Sex,SL,ZW,IO,PC,BW,NL,NW,DT,UTB,MM,MBL,MBH,LT
2.4.6.25,M,48.2,27.1,15.2,17.3,20.8,14.2,6.2,13.4,7.2,10.0341449546227,25.6,16.4,7.3
52353,F,47.7,28,15.3495263471343,17,21,15.8,7,13,7.6,10.8,25.9,17,7.6
6020,F,48.5,28.1,15.5,16.5,21.5,14.4,6.7,12,7.9,10.9,24.6,16.8,8
10338,F,47.8,28.0007127852896,15.3,16.2,19.7,15.2,6.8,12.9,7.2,10.6,24.2,16.3763819776561,7.2
52352,F,49.6,28.1,16,16.8,20.8,15.4,6.9,12.6,7.9,10.8,26.4,17,7.9
6156,M,49,28,16.3,17.3,21,14.7,6.9,12,7.6,10.3,24.1,16.8,7.6
6157,M,46.5,26.7228689566535,14.3,17.2,21.3,14.1,6.3,11.3,7.7,11.2,22.9,15.9,7.8
6158,M,48,27.6,15.1,17.3,21,14.4,7,12.3,7.6,10.6,25,16,7.3
6159,M,49,27.9,15.6,17.3,21.1,14.8,7.2,12.4,8,10.5,25.022492971582,16.8703646210814,7.53710682435465
5908,M,48.4,27.2,15.5,17.5,21.4,14,6.7,12.2,7.6,10.4314459269451,24.9,16.5,7.5
6155,M,48,27.5,15.6,17,21,14.1,6.9,12.2,7.5,10.3,23.7467557990499,16.1,7.6
6154,M,47,26.5,14.6,17.1,21,14.1,6,11.9,7.7,10.9,24.2,16.2,7.9
